id;spkid;full_name;pdes;name;diameter;q;per;class;horizons;begin_time;end_time;;name_ru
a0000226;2000226;226Weringia;226;Weringia;31.494;2.158943089;1631.094642;MBA;DES=+2000226;1998-11-19-05-25-56;2000-01-01-00-00-00;;Weringia
a0000227;2000227;227Philosophia;227;Philosophia;123.891;2.559691717;2055.514577;MBA;DES=+2000227;1998-08-05-02-54-46;2000-01-01-00-00-00;;Философия
a0000229;2000229;229Adelinda;229;Adelinda;105.912;2.944609442;2310.80335;OMB;DES=+2000229;1998-06-02-07-10-48;2000-01-01-00-00-00;;Аделинда
a0000230;2000230;230Athamantis;230;Athamantis;111.332;2.235592042;1343.055514;MBA;DES=+2000230;1999-01-30-05-40-00;2000-01-01-00-00-00;;Афаманта
a0000231;2000231;231Vindobona;231;Vindobona;73.545;2.480642473;1826.108614;MBA;DES=+2000231;1998-10-01-11-20-54;2000-01-01-00-00-00;;Виндобона
a0000232;2000232;232Russia;232;Russia;49.863;2.105177955;1489.084698;MBA;DES=+2000232;1998-12-24-17-29-31;2000-01-01-00-00-00;;Россия
a0000233;2000233;233Asterope;233;Asterope;99.672;2.39678524;1584.613807;MBA;DES=+2000233;1998-11-30-20-19-02;2000-01-01-00-00-00;;Астеропа
a0000234;2000234;234Barbara;234;Barbara;45.476;1.800361567;1346.129541;MBA;DES=+2000234;1999-01-29-11-13-21;2000-01-01-00-00-00;;Барбара
a0000235;2000235;235Carolina;235;Carolina;57.517;2.701661419;1786.459969;MBA;DES=+2000235;1998-10-11-09-14-25;2000-01-01-00-00-00;;Carolina
a0000236;2000236;236Honoria;236;Honoria;77.708;2.263634679;1709.012421;MBA;DES=+2000236;1998-10-30-17-55-32;2000-01-01-00-00-00;;Honoria
a0000237;2000237;237Coelestina;237;Coelestina;41.08;2.566806183;1677.798504;MBA;DES=+2000237;1998-11-07-13-12-33;2000-01-01-00-00-00;;Coelestina
a0000238;2000238;238Hypatia;238;Hypatia;155.659;2.646599337;1810.374463;MBA;DES=+2000238;1998-10-05-09-45-12;2000-01-01-00-00-00;;Гипатия
a0000239;2000239;239Adrastea;239;Adrastea;37.609;2.269279047;1866.727998;MBA;DES=+2000239;1998-09-21-07-37-56;2000-01-01-00-00-00;;Adrastea
